Date,Time,NB-24,Scada
31-05-2021,00:00:00,0.0,360.91
31-05-2021,00:15:00,0.0,363.65
31-05-2021,00:30:00,0.0,349.6
31-05-2021,00:45:00,0.0,340.98
31-05-2021,01:00:00,0.0,335.48
31-05-2021,01:15:00,0.0,336.74
31-05-2021,01:30:00,0.0,334.69
31-05-2021,01:45:00,0.0,335.67
31-05-2021,02:00:00,0.0,334.99
31-05-2021,02:15:00,0.0,333.0
31-05-2021,02:30:00,0.0,324.59
31-05-2021,02:45:00,0.0,316.39
31-05-2021,03:00:00,0.0,312.79
31-05-2021,03:15:00,0.0,307.06
31-05-2021,03:30:00,0.0,307.55
31-05-2021,03:45:00,0.0,308.55
31-05-2021,04:00:00,0.0,306.84
31-05-2021,04:15:00,0.0,296.36
31-05-2021,04:30:00,0.0,292.52
31-05-2021,04:45:00,0.0,292.42
31-05-2021,05:00:00,0.0,258.63
31-05-2021,05:15:00,0.0,209.5
31-05-2021,05:30:00,0.0,206.33
31-05-2021,05:45:00,0.0,203.35
31-05-2021,06:00:00,0.0,177.38
31-05-2021,06:15:00,0.0,155.88
31-05-2021,06:30:00,0.0,154.51
31-05-2021,06:45:00,0.0,138.85
31-05-2021,07:00:00,0.0,133.96
31-05-2021,07:15:00,0.0,128.71
31-05-2021,07:30:00,0.0,147.62
31-05-2021,07:45:00,0.0,171.9
31-05-2021,08:00:00,0.0,188.08
31-05-2021,08:15:00,0.0,207.99
31-05-2021,08:30:00,0.0,226.89
31-05-2021,08:45:00,0.0,246.77
31-05-2021,09:00:00,0.0,269.86
31-05-2021,09:15:00,0.0,279.02
31-05-2021,09:30:00,0.0,283.36
31-05-2021,09:45:00,0.0,289.3
31-05-2021,10:00:00,0.0,300.56
31-05-2021,10:15:00,0.0,321.7
31-05-2021,10:30:00,0.0,316.46
31-05-2021,10:45:00,0.0,326.91
31-05-2021,11:00:00,0.0,313.57
31-05-2021,11:15:00,0.0,298.5
31-05-2021,11:30:00,0.0,306.69
31-05-2021,11:45:00,0.0,311.6
31-05-2021,12:00:00,0.0,325.14
31-05-2021,12:15:00,0.0,318.17
31-05-2021,12:30:00,0.0,310.55
31-05-2021,12:45:00,0.0,313.86
31-05-2021,13:00:00,0.0,310.08
31-05-2021,13:15:00,0.0,303.88
31-05-2021,13:30:00,0.0,287.95
31-05-2021,13:45:00,0.0,292.82
31-05-2021,14:00:00,0.0,304.39
31-05-2021,14:15:00,0.0,300.32
31-05-2021,14:30:00,0.0,299.58
31-05-2021,14:45:00,0.0,271.63
31-05-2021,15:00:00,0.0,248.63
31-05-2021,15:15:00,0.0,244.65
31-05-2021,15:30:00,0.0,240.63
31-05-2021,15:45:00,0.0,215.2
31-05-2021,16:00:00,0.0,202.74
31-05-2021,16:15:00,0.0,167.93
31-05-2021,16:30:00,0.0,175.95
31-05-2021,16:45:00,0.0,182.78
31-05-2021,17:00:00,0.0,171.45
31-05-2021,17:15:00,0.0,168.11
31-05-2021,17:30:00,0.0,159.87
31-05-2021,17:45:00,0.0,165.9
31-05-2021,18:00:00,0.0,186.73
31-05-2021,18:15:00,0.0,188.65
31-05-2021,18:30:00,0.0,185.26
31-05-2021,18:45:00,0.0,182.71
31-05-2021,19:00:00,0.0,187.97
31-05-2021,19:15:00,0.0,216.46
31-05-2021,19:30:00,0.0,239.04
31-05-2021,19:45:00,0.0,212.1
31-05-2021,20:00:00,0.0,220.2
31-05-2021,20:15:00,0.0,207.61
31-05-2021,20:30:00,0.0,221.53
31-05-2021,20:45:00,0.0,221.05
31-05-2021,21:00:00,0.0,267.01
31-05-2021,21:15:00,0.0,264.56
31-05-2021,21:30:00,0.0,274.74
31-05-2021,21:45:00,0.0,276.41
31-05-2021,22:00:00,0.0,251.12
31-05-2021,22:15:00,0.0,236.21
31-05-2021,22:30:00,0.0,239.78
31-05-2021,22:45:00,0.0,212.08
31-05-2021,23:00:00,0.0,198.26
31-05-2021,23:15:00,0.0,201.55
31-05-2021,23:30:00,0.0,213.19
31-05-2021,23:45:00,0.0,216.91
01-06-2021,00:00:00,0.0,234.64
01-06-2021,00:15:00,0.0,205.54
01-06-2021,00:30:00,0.0,225.25
01-06-2021,00:45:00,0.0,203.55
01-06-2021,01:00:00,0.0,176.59
01-06-2021,01:15:00,0.0,136.47
01-06-2021,01:30:00,0.0,130.8
01-06-2021,01:45:00,0.0,109.72
01-06-2021,02:00:00,0.0,126.03
01-06-2021,02:15:00,0.0,125.4
01-06-2021,02:30:00,0.0,101.98
01-06-2021,02:45:00,0.0,93.88
01-06-2021,03:00:00,0.0,87.88
01-06-2021,03:15:00,0.0,71.6
01-06-2021,03:30:00,0.0,61.27
01-06-2021,03:45:00,0.0,54.27
01-06-2021,04:00:00,0.0,46.71
01-06-2021,04:15:00,0.0,51.7
01-06-2021,04:30:00,0.0,36.26
01-06-2021,04:45:00,0.0,20.83
01-06-2021,05:00:00,0.0,-4.34
01-06-2021,05:15:00,0.0,-31.81
01-06-2021,05:30:00,0.0,-34.32
01-06-2021,05:45:00,0.0,-46.9
01-06-2021,06:00:00,0.0,-59.37
01-06-2021,06:15:00,0.0,-75.26
01-06-2021,06:30:00,0.0,-68.37
01-06-2021,06:45:00,0.0,-60.24
01-06-2021,07:00:00,0.0,-47.45
01-06-2021,07:15:00,0.0,-30.04
01-06-2021,07:30:00,0.0,-7.55
01-06-2021,07:45:00,0.0,8.69
01-06-2021,08:00:00,0.0,24.5
01-06-2021,08:15:00,0.0,33.29
01-06-2021,08:30:00,0.0,44.57
01-06-2021,08:45:00,0.0,86.18
01-06-2021,09:00:00,0.0,102.91
01-06-2021,09:15:00,0.0,110.57
01-06-2021,09:30:00,0.0,125.56
01-06-2021,09:45:00,0.0,133.26
01-06-2021,10:00:00,0.0,155.62
01-06-2021,10:15:00,0.0,150.03
01-06-2021,10:30:00,0.0,148.07
01-06-2021,10:45:00,0.0,150.05
01-06-2021,11:00:00,0.0,150.05
01-06-2021,11:15:00,0.0,180.72
01-06-2021,11:30:00,0.0,179.42
01-06-2021,11:45:00,0.0,184.47
01-06-2021,12:00:00,0.0,205.02
01-06-2021,12:15:00,0.0,200.74
01-06-2021,12:30:00,0.0,203.38
01-06-2021,12:45:00,0.0,216.73
01-06-2021,13:00:00,0.0,208.98
01-06-2021,13:15:00,0.0,196.22
01-06-2021,13:30:00,0.0,209.69
01-06-2021,13:45:00,0.0,209.74
01-06-2021,14:00:00,0.0,218.94
01-06-2021,14:15:00,0.0,210.38
01-06-2021,14:30:00,0.0,197.62
01-06-2021,14:45:00,0.0,166.94
01-06-2021,15:00:00,0.0,171.22
01-06-2021,15:15:00,0.0,159.99
01-06-2021,15:30:00,0.0,160.35
01-06-2021,15:45:00,0.0,161.73
01-06-2021,16:00:00,0.0,210.26
01-06-2021,16:15:00,0.0,212.05
01-06-2021,16:30:00,0.0,218.81
01-06-2021,16:45:00,0.0,231.08
01-06-2021,17:00:00,0.0,245.26
01-06-2021,17:15:00,0.0,250.9
01-06-2021,17:30:00,0.0,262.65
01-06-2021,17:45:00,0.0,262.71
01-06-2021,18:00:00,0.0,267.35
01-06-2021,18:15:00,0.0,268.77
01-06-2021,18:30:00,0.0,254.03
01-06-2021,18:45:00,0.0,260.17
01-06-2021,19:00:00,0.0,266.21
01-06-2021,19:15:00,0.0,272.6
01-06-2021,19:30:00,0.0,263.44
01-06-2021,19:45:00,0.0,298.65
01-06-2021,20:00:00,0.0,318.9
01-06-2021,20:15:00,0.0,331.7
01-06-2021,20:30:00,0.0,314.6
01-06-2021,20:45:00,0.0,307.65
01-06-2021,21:00:00,0.0,329.4
01-06-2021,21:15:00,0.0,314.9
01-06-2021,21:30:00,0.0,321.44
01-06-2021,21:45:00,0.0,320.25
01-06-2021,22:00:00,0.0,302.45
01-06-2021,22:15:00,0.0,279.46
01-06-2021,22:30:00,0.0,255.86
01-06-2021,22:45:00,0.0,264.77
01-06-2021,23:00:00,0.0,240.37
01-06-2021,23:15:00,0.0,239.84
01-06-2021,23:30:00,0.0,255.39
01-06-2021,23:45:00,0.0,257.66
02-06-2021,00:00:00,0.0,249.03
02-06-2021,00:15:00,0.0,252.26
02-06-2021,00:30:00,0.0,244.88
02-06-2021,00:45:00,0.0,241.16
02-06-2021,01:00:00,0.0,244.19
02-06-2021,01:15:00,0.0,239.58
02-06-2021,01:30:00,0.0,243.75
02-06-2021,01:45:00,0.0,252.15
02-06-2021,02:00:00,0.0,250.78
02-06-2021,02:15:00,0.0,235.34
02-06-2021,02:30:00,0.0,229.35
02-06-2021,02:45:00,0.0,230.22
02-06-2021,03:00:00,0.0,230.69
02-06-2021,03:15:00,0.0,230.76
02-06-2021,03:30:00,0.0,230.13
02-06-2021,03:45:00,0.0,262.58
02-06-2021,04:00:00,0.0,277.14
02-06-2021,04:15:00,0.0,272.42
02-06-2021,04:30:00,0.0,262.08
02-06-2021,04:45:00,0.0,253.18
02-06-2021,05:00:00,0.0,251.19
02-06-2021,05:15:00,0.0,222.01
02-06-2021,05:30:00,0.0,203.86
02-06-2021,05:45:00,0.0,180.42
02-06-2021,06:00:00,0.0,147.79
02-06-2021,06:15:00,0.0,123.63
02-06-2021,06:30:00,0.0,122.78
02-06-2021,06:45:00,0.0,122.12
02-06-2021,07:00:00,0.0,120.77
02-06-2021,07:15:00,0.0,117.75
02-06-2021,07:30:00,0.0,132.93
02-06-2021,07:45:00,0.0,149.96
02-06-2021,08:00:00,0.0,102.17
02-06-2021,08:15:00,0.0,128.65
02-06-2021,08:30:00,0.0,180.1
02-06-2021,08:45:00,0.0,191.96
02-06-2021,09:00:00,0.0,219.74
02-06-2021,09:15:00,0.0,287.86
02-06-2021,09:30:00,0.0,276.9
02-06-2021,09:45:00,0.0,284.95
02-06-2021,10:00:00,0.0,295.64
02-06-2021,10:15:00,0.0,302.45
02-06-2021,10:30:00,0.0,311.04
02-06-2021,10:45:00,0.0,313.49
02-06-2021,11:00:00,0.0,322.24
02-06-2021,11:15:00,0.0,325.02
02-06-2021,11:30:00,0.0,324.31
02-06-2021,11:45:00,0.0,338.4
02-06-2021,12:00:00,0.0,366.12
02-06-2021,12:15:00,0.0,353.46
02-06-2021,12:30:00,0.0,358.48
02-06-2021,12:45:00,0.0,349.4
02-06-2021,13:00:00,0.0,345.22
02-06-2021,13:15:00,0.0,345.83
02-06-2021,13:30:00,0.0,347.8
02-06-2021,13:45:00,0.0,352.38
02-06-2021,14:00:00,0.0,346.2
02-06-2021,14:15:00,0.0,334.51
02-06-2021,14:30:00,0.0,325.36
02-06-2021,14:45:00,0.0,333.36
02-06-2021,15:00:00,0.0,335.54
02-06-2021,15:15:00,0.0,336.41
02-06-2021,15:30:00,0.0,341.59
02-06-2021,15:45:00,0.0,346.51
02-06-2021,16:00:00,0.0,342.63
02-06-2021,16:15:00,0.0,338.43
02-06-2021,16:30:00,0.0,329.67
02-06-2021,16:45:00,0.0,330.47
02-06-2021,17:00:00,0.0,334.33
02-06-2021,17:15:00,0.0,350.47
02-06-2021,17:30:00,0.0,360.43
02-06-2021,17:45:00,0.0,360.69
02-06-2021,18:00:00,0.0,365.26
02-06-2021,18:15:00,0.0,370.89
02-06-2021,18:30:00,0.0,343.26
02-06-2021,18:45:00,0.0,316.35
02-06-2021,19:00:00,0.0,296.12
02-06-2021,19:15:00,0.0,309.6
02-06-2021,19:30:00,0.0,321.25
02-06-2021,19:45:00,0.0,338.14
02-06-2021,20:00:00,0.0,354.43
02-06-2021,20:15:00,0.0,362.0
02-06-2021,20:30:00,0.0,370.59
02-06-2021,20:45:00,0.0,361.34
02-06-2021,21:00:00,0.0,371.96
02-06-2021,21:15:00,0.0,355.01
02-06-2021,21:30:00,0.0,366.34
02-06-2021,21:45:00,0.0,374.98
02-06-2021,22:00:00,0.0,363.17
02-06-2021,22:15:00,0.0,341.93
02-06-2021,22:30:00,0.0,338.16
02-06-2021,22:45:00,0.0,331.23
02-06-2021,23:00:00,0.0,329.73
02-06-2021,23:15:00,0.0,327.7
02-06-2021,23:30:00,0.0,354.46
02-06-2021,23:45:00,0.0,374.92
03-06-2021,00:00:00,0.0,378.18
03-06-2021,00:15:00,0.0,370.32
03-06-2021,00:30:00,0.0,376.71
03-06-2021,00:45:00,0.0,376.07
03-06-2021,01:00:00,0.0,376.03
03-06-2021,01:15:00,0.0,376.0
03-06-2021,01:30:00,0.0,369.96
03-06-2021,01:45:00,0.0,359.99
03-06-2021,02:00:00,0.0,350.99
03-06-2021,02:15:00,0.0,340.76
03-06-2021,02:30:00,0.0,344.72
03-06-2021,02:45:00,0.0,343.31
03-06-2021,03:00:00,0.0,348.52
03-06-2021,03:15:00,0.0,345.74
03-06-2021,03:30:00,0.0,348.78
03-06-2021,03:45:00,0.0,362.55
03-06-2021,04:00:00,0.0,364.15
03-06-2021,04:15:00,0.0,371.19
03-06-2021,04:30:00,0.0,367.04
03-06-2021,04:45:00,0.0,365.76
03-06-2021,05:00:00,0.0,335.4
03-06-2021,05:15:00,0.0,303.28
03-06-2021,05:30:00,0.0,292.18
03-06-2021,05:45:00,0.0,262.55
03-06-2021,06:00:00,0.0,215.82
03-06-2021,06:15:00,0.0,197.41
03-06-2021,06:30:00,0.0,205.35
03-06-2021,06:45:00,0.0,199.86
03-06-2021,07:00:00,0.0,182.81
03-06-2021,07:15:00,0.0,171.83
03-06-2021,07:30:00,0.0,187.88
03-06-2021,07:45:00,0.0,195.97
03-06-2021,08:00:00,0.0,202.54
03-06-2021,08:15:00,0.0,224.85
03-06-2021,08:30:00,0.0,241.57
03-06-2021,08:45:00,0.0,277.33
03-06-2021,09:00:00,0.0,308.83
03-06-2021,09:15:00,0.0,319.59
03-06-2021,09:30:00,0.0,328.22
03-06-2021,09:45:00,0.0,355.34
03-06-2021,10:00:00,0.0,363.0
03-06-2021,10:15:00,0.0,376.61
03-06-2021,10:30:00,0.0,380.91
03-06-2021,10:45:00,0.0,397.68
03-06-2021,11:00:00,0.0,399.41
03-06-2021,11:15:00,0.0,401.89
03-06-2021,11:30:00,0.0,410.33
03-06-2021,11:45:00,0.0,428.04
