Date,Time,NB-24,Scada
03-06-2021,12:00:00,0.0,456.16
03-06-2021,12:15:00,0.0,434.82
03-06-2021,12:30:00,0.0,435.73
03-06-2021,12:45:00,0.0,421.26
03-06-2021,13:00:00,0.0,402.71
03-06-2021,13:15:00,0.0,402.39
03-06-2021,13:30:00,0.0,342.65
03-06-2021,13:45:00,0.0,343.88
03-06-2021,14:00:00,0.0,346.05
03-06-2021,14:15:00,0.0,354.91
03-06-2021,14:30:00,0.0,328.72
03-06-2021,14:45:00,0.0,315.6
03-06-2021,15:00:00,0.0,298.83
03-06-2021,15:15:00,0.0,301.0
03-06-2021,15:30:00,0.0,314.79
03-06-2021,15:45:00,0.0,317.63
03-06-2021,16:00:00,0.0,302.68
03-06-2021,16:15:00,0.0,280.63
03-06-2021,16:30:00,0.0,279.87
03-06-2021,16:45:00,0.0,286.53
03-06-2021,17:00:00,0.0,283.33
03-06-2021,17:15:00,0.0,287.14
03-06-2021,17:30:00,0.0,290.01
03-06-2021,17:45:00,0.0,285.22
03-06-2021,18:00:00,0.0,285.09
03-06-2021,18:15:00,0.0,284.56
03-06-2021,18:30:00,0.0,278.67
03-06-2021,18:45:00,0.0,266.59
03-06-2021,19:00:00,0.0,289.94
03-06-2021,19:15:00,0.0,311.39
03-06-2021,19:30:00,0.0,311.66
03-06-2021,19:45:00,0.0,329.19
03-06-2021,20:00:00,0.0,354.29
03-06-2021,20:15:00,0.0,347.27
03-06-2021,20:30:00,0.0,349.12
03-06-2021,20:45:00,0.0,351.43
03-06-2021,21:00:00,0.0,371.66
03-06-2021,21:15:00,0.0,374.52
03-06-2021,21:30:00,0.0,387.92
03-06-2021,21:45:00,0.0,395.03
03-06-2021,22:00:00,0.0,389.76
03-06-2021,22:15:00,0.0,371.84
03-06-2021,22:30:00,0.0,369.52
03-06-2021,22:45:00,0.0,352.29
03-06-2021,23:00:00,0.0,355.57
03-06-2021,23:15:00,0.0,356.52
03-06-2021,23:30:00,0.0,358.75
03-06-2021,23:45:00,0.0,379.95
04-06-2021,00:00:00,0.0,382.08
04-06-2021,00:15:00,0.0,403.42
04-06-2021,00:30:00,0.0,394.41
04-06-2021,00:45:00,0.0,396.34
04-06-2021,01:00:00,0.0,389.4
04-06-2021,01:15:00,0.0,405.02
04-06-2021,01:30:00,0.0,412.72
04-06-2021,01:45:00,0.0,396.49
04-06-2021,02:00:00,0.0,396.97
04-06-2021,02:15:00,0.0,396.25
04-06-2021,02:30:00,0.0,400.9
04-06-2021,02:45:00,0.0,390.6
04-06-2021,03:00:00,0.0,398.81
04-06-2021,03:15:00,0.0,392.09
04-06-2021,03:30:00,0.0,399.77
04-06-2021,03:45:00,0.0,394.16
04-06-2021,04:00:00,0.0,398.25
04-06-2021,04:15:00,0.0,393.6
04-06-2021,04:30:00,0.0,399.53
04-06-2021,04:45:00,0.0,396.7
04-06-2021,05:00:00,0.0,365.02
04-06-2021,05:15:00,0.0,336.07
04-06-2021,05:30:00,0.0,308.01
04-06-2021,05:45:00,0.0,283.21
04-06-2021,06:00:00,0.0,226.03
04-06-2021,06:15:00,0.0,180.23
04-06-2021,06:30:00,0.0,177.04
04-06-2021,06:45:00,0.0,191.26
04-06-2021,07:00:00,0.0,186.94
04-06-2021,07:15:00,0.0,184.21
04-06-2021,07:30:00,0.0,182.34
04-06-2021,07:45:00,0.0,180.28
04-06-2021,08:00:00,0.0,203.19
04-06-2021,08:15:00,0.0,235.61
04-06-2021,08:30:00,0.0,287.49
04-06-2021,08:45:00,0.0,322.11
04-06-2021,09:00:00,0.0,339.44
04-06-2021,09:15:00,0.0,355.48
04-06-2021,09:30:00,0.0,356.02
04-06-2021,09:45:00,0.0,372.86
04-06-2021,10:00:00,0.0,402.45
04-06-2021,10:15:00,0.0,416.51
04-06-2021,10:30:00,0.0,428.82
04-06-2021,10:45:00,0.0,431.2
04-06-2021,11:00:00,0.0,395.95
04-06-2021,11:15:00,0.0,342.22
04-06-2021,11:30:00,0.0,314.57
04-06-2021,11:45:00,0.0,333.1
04-06-2021,12:00:00,0.0,356.42
04-06-2021,12:15:00,0.0,341.15
04-06-2021,12:30:00,0.0,327.65
04-06-2021,12:45:00,0.0,324.68
04-06-2021,13:00:00,0.0,318.12
04-06-2021,13:15:00,0.0,319.25
04-06-2021,13:30:00,0.0,319.47
04-06-2021,13:45:00,0.0,326.39
04-06-2021,14:00:00,0.0,322.25
04-06-2021,14:15:00,0.0,315.45
04-06-2021,14:30:00,0.0,310.53
04-06-2021,14:45:00,0.0,314.64
04-06-2021,15:00:00,0.0,311.34
04-06-2021,15:15:00,0.0,308.41
04-06-2021,15:30:00,0.0,376.31
04-06-2021,15:45:00,0.0,448.27
04-06-2021,16:00:00,0.0,428.92
04-06-2021,16:15:00,0.0,405.75
04-06-2021,16:30:00,0.0,393.15
04-06-2021,16:45:00,0.0,399.84
04-06-2021,17:00:00,0.0,373.83
04-06-2021,17:15:00,0.0,367.07
04-06-2021,17:30:00,0.0,346.96
04-06-2021,17:45:00,0.0,229.65
04-06-2021,18:00:00,0.0,223.14
04-06-2021,18:15:00,0.0,213.23
04-06-2021,18:30:00,0.0,218.84
04-06-2021,18:45:00,0.0,203.38
04-06-2021,19:00:00,0.0,197.8
04-06-2021,19:15:00,0.0,203.8
04-06-2021,19:30:00,0.0,212.72
04-06-2021,19:45:00,0.0,240.74
04-06-2021,20:00:00,0.0,271.39
04-06-2021,20:15:00,0.0,278.21
04-06-2021,20:30:00,0.0,272.64
04-06-2021,20:45:00,0.0,266.95
04-06-2021,21:00:00,0.0,299.58
04-06-2021,21:15:00,0.0,317.25
04-06-2021,21:30:00,0.0,324.55
04-06-2021,21:45:00,0.0,327.13
04-06-2021,22:00:00,0.0,316.2
04-06-2021,22:15:00,0.0,298.18
04-06-2021,22:30:00,0.0,302.36
04-06-2021,22:45:00,0.0,284.16
04-06-2021,23:00:00,0.0,285.0
04-06-2021,23:15:00,0.0,301.55
04-06-2021,23:30:00,0.0,313.96
04-06-2021,23:45:00,0.0,325.58
05-06-2021,00:00:00,0.0,332.39
05-06-2021,00:15:00,0.0,345.73
05-06-2021,00:30:00,0.0,342.92
05-06-2021,00:45:00,0.0,356.58
05-06-2021,01:00:00,0.0,376.73
05-06-2021,01:15:00,0.0,389.52
05-06-2021,01:30:00,0.0,403.14
05-06-2021,01:45:00,0.0,397.02
05-06-2021,02:00:00,0.0,389.62
05-06-2021,02:15:00,0.0,394.75
05-06-2021,02:30:00,0.0,386.21
05-06-2021,02:45:00,0.0,370.09
05-06-2021,03:00:00,0.0,367.17
05-06-2021,03:15:00,0.0,361.2
05-06-2021,03:30:00,0.0,365.38
05-06-2021,03:45:00,0.0,362.67
05-06-2021,04:00:00,0.0,360.92
05-06-2021,04:15:00,0.0,354.25
05-06-2021,04:30:00,0.0,353.36
05-06-2021,04:45:00,0.0,355.75
05-06-2021,05:00:00,0.0,322.35
05-06-2021,05:15:00,0.0,269.55
05-06-2021,05:30:00,0.0,236.31
05-06-2021,05:45:00,0.0,199.63
05-06-2021,06:00:00,0.0,166.99
05-06-2021,06:15:00,0.0,152.22
05-06-2021,06:30:00,0.0,144.44
05-06-2021,06:45:00,0.0,126.03
05-06-2021,07:00:00,0.0,99.08
05-06-2021,07:15:00,0.0,102.67
05-06-2021,07:30:00,0.0,105.26
05-06-2021,07:45:00,0.0,107.98
05-06-2021,08:00:00,0.0,131.08
05-06-2021,08:15:00,0.0,179.49
05-06-2021,08:30:00,0.0,210.08
05-06-2021,08:45:00,0.0,236.56
05-06-2021,09:00:00,0.0,269.6
05-06-2021,09:15:00,0.0,296.22
05-06-2021,09:30:00,0.0,316.54
05-06-2021,09:45:00,0.0,323.89
05-06-2021,10:00:00,0.0,332.73
05-06-2021,10:15:00,0.0,314.54
05-06-2021,10:30:00,0.0,317.59
05-06-2021,10:45:00,0.0,328.25
05-06-2021,11:00:00,0.0,326.64
05-06-2021,11:15:00,0.0,319.56
05-06-2021,11:30:00,0.0,328.45
05-06-2021,11:45:00,0.0,329.7
05-06-2021,12:00:00,0.0,349.63
05-06-2021,12:15:00,0.0,359.54
05-06-2021,12:30:00,0.0,358.77
05-06-2021,12:45:00,0.0,360.43
05-06-2021,13:00:00,0.0,356.79
05-06-2021,13:15:00,0.0,342.72
05-06-2021,13:30:00,0.0,342.38
05-06-2021,13:45:00,0.0,368.71
05-06-2021,14:00:00,0.0,387.02
05-06-2021,14:15:00,0.0,382.29
05-06-2021,14:30:00,0.0,387.46
05-06-2021,14:45:00,0.0,361.01
05-06-2021,15:00:00,0.0,340.56
05-06-2021,15:15:00,0.0,322.76
05-06-2021,15:30:00,0.0,324.39
05-06-2021,15:45:00,0.0,323.42
05-06-2021,16:00:00,0.0,306.38
05-06-2021,16:15:00,0.0,288.53
05-06-2021,16:30:00,0.0,289.87
05-06-2021,16:45:00,0.0,311.43
05-06-2021,17:00:00,0.0,312.33
05-06-2021,17:15:00,0.0,319.36
05-06-2021,17:30:00,0.0,297.93
05-06-2021,17:45:00,0.0,252.86
05-06-2021,18:00:00,0.0,277.39
05-06-2021,18:15:00,0.0,302.41
05-06-2021,18:30:00,0.0,275.18
05-06-2021,18:45:00,0.0,243.83
05-06-2021,19:00:00,0.0,249.4
05-06-2021,19:15:00,0.0,262.08
05-06-2021,19:30:00,0.0,256.15
05-06-2021,19:45:00,0.0,286.78
05-06-2021,20:00:00,0.0,307.06
05-06-2021,20:15:00,0.0,326.63
05-06-2021,20:30:00,0.0,343.41
05-06-2021,20:45:00,0.0,342.36
05-06-2021,21:00:00,0.0,356.39
05-06-2021,21:15:00,0.0,362.34
05-06-2021,21:30:00,0.0,366.59
05-06-2021,21:45:00,0.0,352.33
05-06-2021,22:00:00,0.0,352.3
05-06-2021,22:15:00,0.0,348.42
05-06-2021,22:30:00,0.0,341.35
05-06-2021,22:45:00,0.0,336.13
05-06-2021,23:00:00,0.0,334.59
05-06-2021,23:15:00,0.0,328.05
05-06-2021,23:30:00,0.0,323.69
05-06-2021,23:45:00,0.0,328.79
06-06-2021,00:00:00,0.0,329.13
06-06-2021,00:15:00,0.0,348.67
06-06-2021,00:30:00,0.0,348.26
06-06-2021,00:45:00,0.0,350.21
06-06-2021,01:00:00,0.0,347.09
06-06-2021,01:15:00,0.0,337.75
06-06-2021,01:30:00,0.0,334.29
06-06-2021,01:45:00,0.0,317.6
06-06-2021,02:00:00,0.0,312.01
06-06-2021,02:15:00,0.0,315.43
06-06-2021,02:30:00,0.0,307.82
06-06-2021,02:45:00,0.0,309.28
06-06-2021,03:00:00,0.0,306.99
06-06-2021,03:15:00,0.0,319.91
06-06-2021,03:30:00,0.0,320.0
06-06-2021,03:45:00,0.0,317.54
06-06-2021,04:00:00,0.0,317.01
06-06-2021,04:15:00,0.0,307.33
06-06-2021,04:30:00,0.0,309.42
06-06-2021,04:45:00,0.0,309.07
06-06-2021,05:00:00,0.0,282.03
06-06-2021,05:15:00,0.0,238.77
06-06-2021,05:30:00,0.0,235.16
06-06-2021,05:45:00,0.0,222.8
06-06-2021,06:00:00,0.0,206.06
06-06-2021,06:15:00,0.0,183.01
06-06-2021,06:30:00,0.0,183.13
06-06-2021,06:45:00,0.0,172.73
06-06-2021,07:00:00,0.0,164.56
06-06-2021,07:15:00,0.0,166.33
06-06-2021,07:30:00,0.0,178.94
06-06-2021,07:45:00,0.0,191.58
06-06-2021,08:00:00,0.0,198.73
06-06-2021,08:15:00,0.0,227.42
06-06-2021,08:30:00,0.0,253.84
06-06-2021,08:45:00,0.0,274.1
06-06-2021,09:00:00,0.0,306.63
06-06-2021,09:15:00,0.0,323.31
06-06-2021,09:30:00,0.0,329.23
06-06-2021,09:45:00,0.0,325.25
06-06-2021,10:00:00,0.0,345.32
06-06-2021,10:15:00,0.0,359.14
06-06-2021,10:30:00,0.0,375.08
06-06-2021,10:45:00,0.0,380.24
06-06-2021,11:00:00,0.0,384.31
06-06-2021,11:15:00,0.0,387.5
06-06-2021,11:30:00,0.0,383.72
06-06-2021,11:45:00,0.0,383.67
06-06-2021,12:00:00,0.0,396.05
06-06-2021,12:15:00,0.0,378.36
06-06-2021,12:30:00,0.0,373.59
06-06-2021,12:45:00,0.0,369.56
06-06-2021,13:00:00,0.0,365.9
06-06-2021,13:15:00,0.0,373.18
06-06-2021,13:30:00,0.0,384.23
06-06-2021,13:45:00,0.0,394.31
06-06-2021,14:00:00,0.0,385.46
06-06-2021,14:15:00,0.0,374.14
06-06-2021,14:30:00,0.0,366.05
06-06-2021,14:45:00,0.0,371.86
06-06-2021,15:00:00,0.0,363.8
06-06-2021,15:15:00,0.0,360.86
06-06-2021,15:30:00,0.0,345.12
06-06-2021,15:45:00,0.0,328.61
06-06-2021,16:00:00,0.0,303.69
06-06-2021,16:15:00,0.0,281.45
06-06-2021,16:30:00,0.0,274.76
06-06-2021,16:45:00,0.0,265.92
06-06-2021,17:00:00,0.0,253.58
06-06-2021,17:15:00,0.0,250.45
06-06-2021,17:30:00,0.0,250.53
06-06-2021,17:45:00,0.0,246.78
06-06-2021,18:00:00,0.0,262.53
06-06-2021,18:15:00,0.0,271.87
06-06-2021,18:30:00,0.0,256.52
06-06-2021,18:45:00,0.0,259.54
06-06-2021,19:00:00,0.0,275.89
06-06-2021,19:15:00,0.0,280.35
06-06-2021,19:30:00,0.0,258.85
06-06-2021,19:45:00,0.0,272.36
06-06-2021,20:00:00,0.0,305.29
06-06-2021,20:15:00,0.0,323.99
06-06-2021,20:30:00,0.0,317.12
06-06-2021,20:45:00,0.0,330.39
06-06-2021,21:00:00,0.0,343.68
06-06-2021,21:15:00,0.0,345.33
06-06-2021,21:30:00,0.0,330.56
06-06-2021,21:45:00,0.0,328.91
06-06-2021,22:00:00,0.0,334.77
06-06-2021,22:15:00,0.0,329.07
06-06-2021,22:30:00,0.0,320.17
06-06-2021,22:45:00,0.0,319.92
06-06-2021,23:00:00,0.0,315.1
06-06-2021,23:15:00,0.0,311.14
06-06-2021,23:30:00,0.0,318.01
06-06-2021,23:45:00,0.0,330.38
